Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,061428,2017,01,31,22.2
IDCJAC0016,061428,2017,02,01,12.0
IDCJAC0016,061428,2017,02,02,19.7
IDCJAC0016,061428,2017,02,03,11.8
IDCJAC0016,061428,2017,02,04,19.6
IDCJAC0016,061428,2017,02,05,20.9
IDCJAC0016,061428,2017,02,06,28.7
IDCJAC0016,061428,2017,02,07,15.3
IDCJAC0016,061428,2017,02,08,20.3
IDCJAC0016,061428,2017,02,09,28.3
IDCJAC0016,061428,2017,02,10,28.1
IDCJAC0016,061428,2017,02,11,26.7
IDCJAC0016,061428,2017,02,12,22.9
IDCJAC0016,061428,2017,02,13,26.7
IDCJAC0016,061428,2017,02,14,16.4
IDCJAC0016,061428,2017,02,15,23.4
IDCJAC0016,061428,2017,02,16,24.5
IDCJAC0016,061428,2017,02,17,18.8
IDCJAC0016,061428,2017,02,18,22.8
IDCJAC0016,061428,2017,02,19,6.0
IDCJAC0016,061428,2017,02,20,26.7
IDCJAC0016,061428,2017,02,21,25.9
IDCJAC0016,061428,2017,02,22,26.1
IDCJAC0016,061428,2017,02,23,26.0
IDCJAC0016,061428,2017,02,24,23.7
IDCJAC0016,061428,2017,02,25,12.4
IDCJAC0016,061428,2017,02,26,18.0
IDCJAC0016,061428,2017,02,27,20.3
IDCJAC0016,061428,2017,02,28,13.0
IDCJAC0016,061428,2017,03,01,16.1
IDCJAC0016,061428,2017,03,02,18.6
IDCJAC0016,061428,2017,03,03,15.0
IDCJAC0016,061428,2017,03,04,7.3
IDCJAC0016,061428,2017,03,05,7.9
IDCJAC0016,061428,2017,03,06,14.6
IDCJAC0016,061428,2017,03,07,16.6
IDCJAC0016,061428,2017,03,08,12.7
IDCJAC0016,061428,2017,03,09,13.3
IDCJAC0016,061428,2017,03,10,13.2
IDCJAC0016,061428,2017,03,11,21.6
IDCJAC0016,061428,2017,03,12,23.2
IDCJAC0016,061428,2017,03,13,16.3
IDCJAC0016,061428,2017,03,14,17.4
IDCJAC0016,061428,2017,03,15,10.8
IDCJAC0016,061428,2017,03,16,19.5
IDCJAC0016,061428,2017,03,17,4.8
IDCJAC0016,061428,2017,03,18,12.5
IDCJAC0016,061428,2017,03,19,18.3
IDCJAC0016,061428,2017,03,20,15.9
IDCJAC0016,061428,2017,03,21,16.4
IDCJAC0016,061428,2017,03,22,9.2
IDCJAC0016,061428,2017,03,23,4.8
IDCJAC0016,061428,2017,03,24,8.4
IDCJAC0016,061428,2017,03,25,16.6
IDCJAC0016,061428,2017,03,26,19.3
IDCJAC0016,061428,2017,03,27,19.2
IDCJAC0016,061428,2017,03,28,17.7
IDCJAC0016,061428,2017,03,29,18.7
IDCJAC0016,061428,2017,03,30,2.7
IDCJAC0016,061428,2017,03,31,13.3
IDCJAC0016,061428,2017,04,01,13.7
IDCJAC0016,061428,2017,04,02,9.3
IDCJAC0016,061428,2017,04,03,11.7
IDCJAC0016,061428,2017,04,04,13.5
IDCJAC0016,061428,2017,04,05,11.7
IDCJAC0016,061428,2017,04,06,14.0
IDCJAC0016,061428,2017,04,07,14.2
IDCJAC0016,061428,2017,04,08,18.1
IDCJAC0016,061428,2017,04,09,18.0
IDCJAC0016,061428,2017,04,10,16.5
IDCJAC0016,061428,2017,04,11,9.1
IDCJAC0016,061428,2017,04,12,15.5
IDCJAC0016,061428,2017,04,13,11.4
IDCJAC0016,061428,2017,04,14,17.1
IDCJAC0016,061428,2017,04,15,16.9
IDCJAC0016,061428,2017,04,16,16.1
IDCJAC0016,061428,2017,04,17,15.4
IDCJAC0016,061428,2017,04,18,16.2
IDCJAC0016,061428,2017,04,19,13.1
IDCJAC0016,061428,2017,04,20,15.8
IDCJAC0016,061428,2017,04,21,15.3
IDCJAC0016,061428,2017,04,22,7.5
IDCJAC0016,061428,2017,04,23,15.2
IDCJAC0016,061428,2017,04,24,15.3
IDCJAC0016,061428,2017,04,25,11.8
IDCJAC0016,061428,2017,04,26,14.0
IDCJAC0016,061428,2017,04,27,13.5
IDCJAC0016,061428,2017,04,28,15.0
IDCJAC0016,061428,2017,04,29,15.1
IDCJAC0016,061428,2017,04,30,11.2
IDCJAC0016,061428,2017,05,01,12.9
IDCJAC0016,061428,2017,05,02,14.3
IDCJAC0016,061428,2017,05,03,6.5
IDCJAC0016,061428,2017,05,04,9.9
IDCJAC0016,061428,2017,05,05,14.3
IDCJAC0016,061428,2017,05,06,13.6
IDCJAC0016,061428,2017,05,07,14.0
IDCJAC0016,061428,2017,05,08,11.9
IDCJAC0016,061428,2017,05,09,12.3
IDCJAC0016,061428,2017,05,10,13.1
IDCJAC0016,061428,2017,05,11,13.1
